,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,business_hours,attributes
0,jUdUpuc9jZ0V33m4pyrgJQ,monkeypod-kitchen-honolulu-3,Monkeypod Kitchen,https://s3-media0.fl.yelpcdn.com/bphoto/M3D7kz-JbfDPrLdSiqjzIg/o.jpg,False,https://www.yelp.com/biz/monkeypod-kitchen-honolulu-3?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,1761,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.3,"{'latitude': 21.27851981119552, 'longitude': -157.83271429964927}",[],$$,"{'address1': '2169 Kālia Rd', 'address2': 'Unit 111', 'address3': None, 'city': 'Honolulu', 'zip_code': '96815', 'country': 'US', 'state': 'HI', 'display_address': ['2169 Kālia Rd', 'Unit 111', 'Honolulu, HI 96815']}",+18089004226,(808) 900-4226,3986.6042452641686,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'http://www.monkeypodkitchen.com/dine_ka_waikiki', 'open24_hours': None, 'waitlist_reservation': None}"
1,cDmt41hWNqh4ODm6jYC5qw,deck-honolulu,Deck.,https://s3-media0.fl.yelpcdn.com/bphoto/R0wr5RsQ8s0lv76lsKNUGg/o.jpg,False,https://www.yelp.com/biz/deck-honolulu?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,2745,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.1,"{'latitude': 21.27201, 'longitude': -157.82117}","['pickup', 'delivery']",$$,"{'address1': '150 Kapahulu Ave', 'address2': '', 'address3': 'Queen Kapiolani Hotel', 'city': 'Honolulu', 'zip_code': '96815', 'country': 'US', 'state': 'HI', 'display_address': ['150 Kapahulu Ave', 'Queen Kapiolani Hotel', 'Honolulu, HI 96815']}",+18087202243,(808) 720-2243,5153.290852136526,"[{'open': [{'is_overnight': False, 'start': '0630', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0630', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0630', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0630', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0630', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0630', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0630', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://deckwaikiki.com/qr/', 'open24_hours': None, 'waitlist_reservation': None}"
2,ojq84p8G6Pg0NccdDdN1jA,dukes-waikiki-honolulu-2,Duke's Waikiki,https://s3-media0.fl.yelpcdn.com/bphoto/gSKZELvdu7rxfQNVzC4l_g/o.jpg,False,https://www.yelp.com/biz/dukes-waikiki-honolulu-2?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,10531,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 21.276917244893788, 'longitude': -157.82789122343033}","['pickup', 'delivery']",$$,"{'address1': '2335 Kalakaua Ave', 'address2': 'Ste 116', 'address3': '', 'city': 'Honolulu', 'zip_code': '96815', 'country': 'US', 'state': 'HI', 'display_address': ['2335 Kalakaua Ave', 'Ste 116', 'Honolulu, HI 96815']}",+18089222268,(808) 922-2268,4339.092605434272,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'http://www.dukeswaikiki.com/menus', 'open24_hours': None, 'waitlist_reservation': None}"
3,0syWUHwfAz1jfuNY6KymPQ,hula-grill-waikiki-honolulu-3,Hula Grill Waikiki,https://s3-media0.fl.yelpcdn.com/bphoto/fcs7Ea8PJQkD1pOSCl-jXw/o.jpg,False,https://www.yelp.com/biz/hula-grill-waikiki-honolulu-3?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,4451,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.1,"{'latitude': 21.277015, 'longitude': -157.827677}",['delivery'],$$,"{'address1': '2335 Kalakaua Ave', 'address2': 'Ste 203', 'address3': '', 'city': 'Honolulu', 'zip_code': '96815', 'country': 'US', 'state': 'HI', 'display_address': ['2335 Kalakaua Ave', 'Ste 203', 'Honolulu, HI 96815']}",+18089234852,(808) 923-4852,4338.555315657287,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'http://www.hulagrillwaikiki.com/menus/dining-room', 'open24_hours': None, 'waitlist_reservation': None}"
4,_g4zJ4-Qe3NJRFRS6mVt_A,basalt-honolulu,Basalt,https://s3-media0.fl.yelpcdn.com/bphoto/ZmSlasSNe_FMisgQ5qdujw/o.jpg,False,https://www.yelp.com/biz/basalt-honolulu?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,2025,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.3,"{'latitude': 21.27969, 'longitude': -157.82685}",['delivery'],$$,"{'address1': '2255 Kuhio Ave', 'address2': '', 'address3': '', 'city': 'Honolulu', 'zip_code': '96815', 'country': 'US', 'state': 'HI', 'display_address': ['2255 Kuhio Ave', 'Honolulu, HI 96815']}",+18089235689,(808) 923-5689,4116.3341277553645,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.basaltwaikiki.com', 'open24_hours': None, 'waitlist_reservation': None}"
5,axOo1mTHrR5qcQTEGxeENw,yogurstory-honolulu-4,YogurStory,https://s3-media0.fl.yelpcdn.com/bphoto/HLfK-TdEWOBHL0OBuPggRg/o.jpg,False,https://www.yelp.com/biz/yogurstory-honolulu-4?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,4726,"[{'alias': 'pancakes', 'title': 'Pancakes'}, {'alias': 'waffles', 'title': 'Waffles'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.0,"{'latitude': 21.295775983957093, 'longitude': -157.84093960000166}","['pickup', 'delivery']",$$,"{'address1': '745 Keeaumoku St', 'address2': 'Ste 100', 'address3': '', 'city': 'Honolulu', 'zip_code': '96814', 'country': 'US', 'state': 'HI', 'display_address': ['745 Keeaumoku St', 'Ste 100', 'Honolulu, HI 96814']}",+18089420505,(808) 942-0505,1902.0976585131982,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1530', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1530', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1530', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1530', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1530', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1530', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1530', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://yogurstoryhawaii.com/food-menu', 'open24_hours': None, 'waitlist_reservation': True}"
6,e_AUsOWI72nSLtzo-HpQrA,musubi-cafe-iyasume-honolulu-24,Musubi Cafe Iyasume,https://s3-media0.fl.yelpcdn.com/bphoto/9TuPNWxmQZqybd4CKUXYEg/o.jpg,False,https://www.yelp.com/biz/musubi-cafe-iyasume-honolulu-24?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,5410,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.5,"{'latitude': 21.27651520345242, 'longitude': -157.8237345808766}",['delivery'],$,"{'address1': '2427 Kuhio Ave', 'address2': 'Fl 1', 'address3': 'Aqua Pacific Monarch Hotel', 'city': 'Honolulu', 'zip_code': '96815', 'country': 'US', 'state': 'HI', 'display_address': ['2427 Kuhio Ave', 'Fl 1', 'Aqua Pacific Monarch Hotel', 'Honolulu, HI 96815']}",+18089210168,(808) 921-0168,4574.765394051204,"[{'open': [{'is_overnight': False, 'start': '0630', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0630', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0630', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0630', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0630', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0630', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0630', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://iyasumehawaii.com/store/waikiki-monarch/', 'open24_hours': None, 'waitlist_reservation': None}"
7,I4Fg_jFodQHQlQBVn1aF3g,helenas-hawaiian-food-honolulu,Helena's Hawaiian Food,https://s3-media0.fl.yelpcdn.com/bphoto/heGjPWi-_vq_YpB4YPkkMw/o.jpg,False,https://www.yelp.com/biz/helenas-hawaiian-food-honolulu?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,4491,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.4,"{'latitude': 21.33095, 'longitude': -157.8651}",['delivery'],$$,"{'address1': '1240 N School St', 'address2': '', 'address3': '', 'city': 'Honolulu', 'zip_code': '96817', 'country': 'US', 'state': 'HI', 'display_address': ['1240 N School St', 'Honolulu, HI 96817']}",+18088458044,(808) 845-8044,2906.993812867917,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1930', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '1930', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1930', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1930', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.helenashawaiianfood.com/menupg.html', 'open24_hours': None, 'waitlist_reservation': True}"
8,ztpc8KWj_YUsehjkcBDO8Q,hau-tree-honolulu-3,Hau Tree,https://s3-media0.fl.yelpcdn.com/bphoto/t0SL_nybrSiql_ijB_EpJA/o.jpg,False,https://www.yelp.com/biz/hau-tree-honolulu-3?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,1008,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",3.9,"{'latitude': 21.263372, 'longitude': -157.821154}",[],$$$,"{'address1': '2863 Kalakaua Ave', 'address2': '', 'address3': None, 'city': 'Honolulu', 'zip_code': '96815', 'country': 'US', 'state': 'HI', 'display_address': ['2863 Kalakaua Ave', 'Honolulu, HI 96815']}",+18089217066,(808) 921-7066,5993.585258743974,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0730', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0730', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
9,D9s3QQtmc-FP1WyMlGKnZg,ginza-bairin-tonkatsu-and-yoshoku-bistro-honolulu-5,Ginza Bairin Tonkatsu & Yoshoku Bistro,https://s3-media0.fl.yelpcdn.com/bphoto/8IDf7Ggp2GXmMHV97cE6Tw/o.jpg,False,https://www.yelp.com/biz/ginza-bairin-tonkatsu-and-yoshoku-bistro-honolulu-5?adjust_creative=nwXV3vxppP4yBywMeVSSZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwXV3vxppP4yBywMeVSSZg,4144,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'bars', 'title': 'Bars'}]",4.3,"{'latitude': 21.280005501248834, 'longitude': -157.83103368641378}","['restaurant_reservation', 'delivery']",$$$,"{'address1': '255 Beach Walk', 'address2': '', 'address3': '', 'city': 'Honolulu', 'zip_code': '96815', 'country': 'US', 'state': 'HI', 'display_address': ['255 Beach Walk', 'Honolulu, HI 96815']}",+18089268082,(808) 926-8082,3894.084113428371,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 6}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.ginzabairinhawaii.com/full-menu/', 'open24_hours': None, 'waitlist_reservation': True}"
